gameid;tournament;gametype;teamA;teamB;resultA;resultB;addinfo;teamA_age;teamB_age;teamA_def_val;teamB_def_val;teamA_off_val;teamB_off_val;teamA_frag;teamB_frag
2450318;AM15;Gruppe A;Oman;Australien;0;4;;26.0;26.38095238095238;216666.66666666666;1045454.5454545454;135714.2857142857;1165000.0;7;20
2450311;AM15;Gruppe A;Südkorea;Oman;1;0;;25.782608695652176;26.0;1466071.4285714286;195454.54545454544;3072222.222222222;131250.0;21;9
2450310;AM15;Gruppe A;Australien;Kuwait;4;1;;26.434782608695652;26.59090909090909;1269230.7692307692;121875.0;1145000.0;183333.33333333334;22;6
2450327;AM15;Gruppe B;China;Nordkorea;2;1;;25.363636363636363;24.6;452083.3333333333;225000.0;555000.0;200000.0;8;8
2450326;AM15;Gruppe B;Usbekistan;Saudi-Arabien;3;1;;26.652173913043477;25.608695652173914;1189583.3333333333;367307.6923076923;438636.36363636365;430000.0;12;6
2450319;AM15;Gruppe B;Nordkorea;Saudi-Arabien;1;4;;24.476190476190474;25.608695652173914;225000.0;378846.1538461539;200000.0;430000.0;9;6
2450320;AM15;Gruppe B;China;Usbekistan;2;1;;25.347826086956523;26.347826086956523;460714.28571428574;686538.4615384615;550000.0;1025000.0;8;12
2450312;AM15;Gruppe B;Usbekistan;Nordkorea;1;0;;26.40909090909091;24.476190476190474;714583.3333333334;155000.0;1025000.0;375000.0;12;9
2450313;AM15;Gruppe B;Saudi-Arabien;China;0;1;;25.318181818181817;25.363636363636363;358928.5714285714;484615.3846153846;475000.0;491666.6666666667;6;8
2450329;AM15;Gruppe C;Katar;Bahrain;1;2;;24.857142857142858;26.19047619047619;146153.84615384616;177500.0;125000.0;337500.0;9;10
2450328;AM15;Gruppe C;Iran;Vereinigte-Arabische-Emirate;1;0;;26.434782608695652;25.26086956521739;870000.0;113461.53846153847;1206250.0;250000.0;15;5
2450321;AM15;Gruppe C;Bahrain;Vereinigte-Arabische-Emirate;1;2;;26.304347826086957;25.26086956521739;259375.0;119642.85714285714;263888.8888888889;255555.55555555556;10;5
2450322;AM15;Gruppe C;Katar;Iran;0;1;;24.73913043478261;26.434782608695652;138461.53846153847;742307.6923076923;270000.0;1305000.0;8;15
2450315;AM15;Gruppe C;Vereinigte-Arabische-Emirate;Katar;4;1;;25.304347826086957;24.59090909090909;118333.33333333333;142307.6923076923;275000.0;277777.77777777775;5;8
2450314;AM15;Gruppe C;Iran;Bahrain;2;0;;26.434782608695652;26.304347826086957;825000.0;259375.0;1238888.888888889;281250.0;15;10
2492811;AM15;Gruppe D;Irak;Palästina;2;0;;22.5;26.42105263157895;390384.6153846154;115000.0;230555.55555555556;114285.71428571429;13;8
2450330;AM15;Gruppe D;Japan;Jordanien;2;0;;26.695652173913043;24.782608695652176;2242307.6923076925;127272.72727272728;4635000.0;144444.44444444444;16;15
2492812;AM15;Gruppe D;Palästina;Jordanien;1;5;;26.9;24.428571428571427;115000.0;130000.0;114285.71428571429;112500.0;8;13
2450323;AM15;Gruppe D;Irak;Japan;0;1;;22.652173913043477;26.652173913043477;106250.0;2242307.6923076925;543181.8181818182;4635000.0;14;16
2485599;AM15;Gruppe D;Japan;Palästina;4;0;;26.652173913043477;27.09090909090909;2242307.6923076925;136363.63636363635;4635000.0;114285.71428571429;16;10
2450316;AM15;Gruppe D;Jordanien;Irak;0;1;;24.782608695652176;22.608695652173914;133333.33333333334;390384.6153846154;136363.63636363635;217500.0;15;14
