gameid,tournament,gametype,team,teamid,result,age,diff_value_1,diff_value_2,past_result
1103444,CA11,Gruppe C,Mexiko,6303,1,22.304347826086957,-7119114.21911422,-2.9497525051309914,0.9502375
2533047,AC15,Finale,Elfenbeinküste,3591,9,25.80952380952381,6118760.683760686,0.5208687269221676,2.945
2533047,AC15,Finale,Ghana,3441,8,24.434782608695652,-6118760.683760686,-1.0871106859216746,1.14
2533046,AC15,Spiel um Platz Drei,Demokratische-Republik-Kongo,3854,4,26.08695652173913,2853803.418803419,0.8229690426895396,1.14
2533046,AC15,Spiel um Platz Drei,Äquatorialguinea,13485,2,25.095238095238095,-2853803.418803419,-4.648729550991995,1.9
2532170,AC15,Halbfinale,Ghana,3441,3,24.391304347826086,5017083.333333333,0.897510435301133,
2532170,AC15,Halbfinale,Äquatorialguinea,13485,0,24.818181818181817,-5017083.333333333,-8.757090909090909,
2532169,AC15,Halbfinale,Demokratische-Republik-Kongo,3854,1,26.08695652173913,-8175641.025641026,-2.3576604554865424,3.8548684375
2532169,AC15,Halbfinale,Elfenbeinküste,3591,3,25.818181818181817,8175641.025641026,0.702173577925081,2.947505625
2531005,AC15,Viertelfinale,Ghana,3441,3,24.391304347826086,2971212.1212121216,0.5641542002301496,2.9001124999999996
2531005,AC15,Viertelfinale,Guinea,3856,0,23.727272727272727,-2971212.1212121216,-1.2943894389438944,0.99999375
2531006,AC15,Viertelfinale,Elfenbeinküste,3591,3,25.818181818181817,4994090.90909091,0.3914143213395084,1.9949999999999999
2531006,AC15,Viertelfinale,Algerien,3614,1,26.304347826086957,-4994090.90909091,-0.6431540127612247,2.0425
2531003,AC15,Viertelfinale,Kongo,3702,2,24.47826086956522,-2187389.2773892777,-1.6442789556684776,0.95
2531003,AC15,Viertelfinale,Demokratische-Republik-Kongo,3854,4,26.043478260869566,2187389.2773892777,0.6218250733885985,1.045
2531004,AC15,Viertelfinale,Tunesien,3670,1,25.52173913043478,2714462.7594627594,0.8269398155036453,1.0925
2531004,AC15,Viertelfinale,Äquatorialguinea,13485,2,24.608695652173914,-2714462.7594627594,-4.778336611105737,0.9974999999999999
2515893,AC15,Gruppe A,Kongo,3702,2,24.363636363636363,-1136025.6410256415,-0.8282082437610996,0.1425
2515893,AC15,Gruppe A,Burkina Faso,5872,1,26.17391304347826,1136025.6410256415,0.45301635991820055,0.95
2515892,AC15,Gruppe A,Gabun,5704,0,23.818181818181817,2647727.272727273,0.8315488936473947,
2515892,AC15,Gruppe A,Äquatorialguinea,13485,2,24.954545454545453,-2647727.272727273,-4.936440677966102,
2515885,AC15,Gruppe A,Äquatorialguinea,13485,0,24.608695652173914,-1903601.3986013988,-3.5641898527004905,
2515885,AC15,Gruppe A,Burkina Faso,5872,0,26.17391304347826,1903601.3986013988,0.7809030666398922,
2515884,AC15,Gruppe A,Gabun,5704,0,23.772727272727273,1879090.9090909092,0.5901498929336189,0.0
2515884,AC15,Gruppe A,Kongo,3702,1,24.391304347826086,-1879090.9090909092,-1.4399164054336469,0.0475
2515876,AC15,Gruppe A,Äquatorialguinea,13485,1,24.608695652173914,-722961.7604617605,-1.1903715363369072,
2515876,AC15,Gruppe A,Kongo,3702,1,24.347826086956523,722961.7604617605,0.543456448638681,
2515877,AC15,Gruppe A,Burkina Faso,5872,0,26.09090909090909,-669431.8181818184,-0.267238250771185,0.952375
2515877,AC15,Gruppe A,Gabun,5704,2,23.73913043478261,669431.8181818184,0.21088240558439242,1.0451187499999999
2515895,AC15,Gruppe B,Demokratische-Republik-Kongo,3854,1,25.90909090909091,-76706.34920634888,-0.023927116986643737,0.0
2515895,AC15,Gruppe B,Tunesien,3670,1,25.434782608695652,76706.34920634888,0.023367988394584094,3.00675
2515894,AC15,Gruppe B,Kap Verde,4311,0,25.73913043478261,1471060.606060606,0.6943679599499374,0.095
2515894,AC15,Gruppe B,Sambia,3703,0,23.714285714285715,-1471060.606060606,-2.2719082719082717,0.9974999999999999
2515887,AC15,Gruppe B,Sambia,3703,1,23.727272727272727,-2503052.503052503,-3.2111528822055133,0.9974999999999999
2515887,AC15,Gruppe B,Tunesien,3670,2,25.434782608695652,2503052.503052503,0.7625353370034221,1.14
2515886,AC15,Gruppe B,Kap Verde,4311,0,25.857142857142858,-1419965.0349650355,-0.6769064088674059,0.9974999999999999
2515886,AC15,Gruppe B,Demokratische-Republik-Kongo,3854,0,25.956521739130434,1419965.0349650355,0.40366379738782987,1.9475
2515878,AC15,Gruppe B,Sambia,3703,1,23.772727272727273,-2699316.2393162395,-3.2983812010443865,
2515878,AC15,Gruppe B,Demokratische-Republik-Kongo,3854,1,25.91304347826087,2699316.2393162395,0.7673542775226572,
2515879,AC15,Gruppe B,Tunesien,3670,1,25.347826086956523,1247312.4098124097,0.3799839546333743,2.945
2515879,AC15,Gruppe B,Kap Verde,4311,1,25.73913043478261,-1247312.4098124097,-0.612861485558303,0.0475
2515897,AC15,Gruppe C,Senegal,3499,0,25.608695652173914,1445147.9076479068,0.16249373807191425,1.952386859375
2515897,AC15,Gruppe C,Algerien,3614,2,26.217391304347824,-1445147.9076479068,-0.19402092313653307,2.8523752968749996
2515896,AC15,Gruppe C,Südafrika,3806,1,25.476190476190474,-4095926.5734265735,-3.0561432801554895,1.045000296875
2515896,AC15,Gruppe C,Ghana,3441,2,24.391304347826086,4095926.5734265735,0.7534603856593385,0.05260625
2515889,AC15,Gruppe C,Ghana,3441,1,24.391304347826086,-2115000.0,-0.4208955223880597,0.95
2515889,AC15,Gruppe C,Algerien,3614,0,26.217391304347824,2115000.0,0.29621848739495793,0.95
2515888,AC15,Gruppe C,Südafrika,3806,1,25.818181818181817,-8411507.936507937,-6.230746619635508,0.0475
2515888,AC15,Gruppe C,Senegal,3499,1,25.608695652173914,8411507.936507937,0.8617016951908614,0.0475
2515880,AC15,Gruppe C,Ghana,3441,1,24.047619047619047,-4458207.070707071,-0.9363795481065027,0.95
2515880,AC15,Gruppe C,Senegal,3499,2,25.608695652173914,4458207.070707071,0.4835723187750798,0.0
2515881,AC15,Gruppe C,Algerien,3614,3,26.217391304347824,6125299.422799423,0.8201782436479568,0.0475
2515881,AC15,Gruppe C,Südafrika,3806,1,25.238095238095237,-6125299.422799423,-4.5610623557822745,0.0475
2515899,AC15,Gruppe D,Guinea,3856,1,23.727272727272727,98162.39316239301,0.04039604656888607,0.0475
2515899,AC15,Gruppe D,Mali,3674,1,26.636363636363637,-98162.39316239301,-0.042096582058095855,1.045
2515898,AC15,Gruppe D,Kamerun,3434,0,24.043478260869566,-5539734.848484848,-0.975806505421184,0.1938184069921875
2515898,AC15,Gruppe D,Elfenbeinküste,3591,1,25.761904761904763,5539734.848484848,0.4938775648039334,0.05380566953125
2515891,AC15,Gruppe D,Elfenbeinküste,3591,1,25.863636363636363,9490133.477633478,0.8051790841031103,1.0046249999999999
2515891,AC15,Gruppe D,Mali,3674,1,26.73913043478261,-9490133.477633478,-4.132919098528707,0.0
2515890,AC15,Gruppe D,Kamerun,3434,1,23.818181818181817,3357156.5934065934,0.5685793716339611,2.8499999999999996
